DIM_img,DIM_text,alpha_modalities,batch_size,beta,beta_1,beta_2,beta_content,beta_m1_style,beta_m2_style,beta_m3_style,beta_style,calc_nll,calc_prd,class_dim,clf_save_m1,clf_save_m2,clf_save_m3,dataloader_workers,dataset,decoder_save_m1,decoder_save_m2,decoder_save_m3,device,dir_checkpoints,dir_clf,dir_cond_gen,dir_data,dir_experiment,dir_experiment_run,dir_fid,dir_gen_eval,dir_gen_eval_fid,dir_inference,dir_logs,dir_logs_clf,dir_plots,dir_random_samples,dir_swapping,div_weight_m1_content,div_weight_m2_content,div_weight_m3_content,div_weight_uniform_content,encoder_save_m1,encoder_save_m2,encoder_save_m3,end_epoch,eval_freq,eval_freq_fid,eval_lr,experiment_uid,factorized_representation,image_channels,img_size,inception_state_dict,initial_learning_rate,joint_elbo,len_sequence,likelihood_m1,likelihood_m2,likelihood_m3,load_saved,method,mm_vae_save,modality_jsd,modality_moe,modality_poe,num_features,num_samples_fid,num_training_samples_lr,poe_unimodal_elbos,save_figure,start_epoch,steps_per_training_epoch,str_experiment,style_lat_dim,style_pa_dim,style_text_dim,text_encoding,use_clf,use_toy_dataset,total_test_loss,total_epochs,experiment_duration,vocab_size,img_clf_type,alphabet,mean_AP,mean_eval_loss,feature_extractor_img,n_crops
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",256.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers/Mimic128,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_23_13_17_46_515651/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,300.0,20.0,300.0,1.0,Mimic_2020_10_23_13_17_46_515651,0.0,1.0,128.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,71.0,10000.0,500.0,0.0,0.0,0.0,-1.0,Mimic_2020_10_23_13_17_46_515651,0.0,0.0,0.0,char,1.0,0.0,16879.255859375,299.0,1596.0,,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",180.0,1.0,0.9,0.9990000000000001,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers/Mimic128,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_26_23_01_20_004865/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,100.0,20.0,100.0,1.0,Mimic_2020_10_26_23_01_20_004865,0.0,1.0,128.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,0.0,1024.0,laplace,laplace,categorical,0.0,jsd,mm_vae,1.0,0.0,0.0,71.0,10000.0,500.0,0.0,0.0,0.0,-1.0,Mimic_2020_10_26_23_01_20_004865,0.0,0.0,0.0,word,1.0,0.0,1776716152832.0,15.0,-1.0,3517.0,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",180.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers/Mimic128,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_25_30_798331/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,100.0,20.0,100.0,1.0,Mimic_2020_10_27_14_25_30_798331,0.0,1.0,128.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,0.0,1024.0,laplace,laplace,categorical,0.0,jsd,mm_vae,1.0,0.0,0.0,71.0,10000.0,500.0,0.0,1.0,0.0,100.0,Mimic_2020_10_27_14_25_30_798331,0.0,0.0,0.0,char,1.0,0.0,9710050590.0,6.0,-1.0,,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",180.0,1.0,0.9,0.9990000000000001,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers/Mimic128,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_27_14_47_11_079212/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,100.0,20.0,100.0,1.0,Mimic_2020_10_27_14_47_11_079212,0.0,1.0,128.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,0.0,1024.0,laplace,laplace,categorical,0.0,jsd,mm_vae,1.0,0.0,0.0,71.0,10000.0,500.0,0.0,1.0,0.0,100.0,Mimic_2020_10_27_14_47_11_079212,0.0,0.0,0.0,char,1.0,0.0,539654651904.0,99.0,258.0,,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",180.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_10_30_17_20_31_531755/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,100.0,20.0,100.0,1.0,Mimic_2020_10_30_17_20_31_531755,0.0,1.0,128.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,71.0,10000.0,500.0,0.0,0.0,0.0,200.0,Mimic_2020_10_30_17_20_31_531755,0.0,0.0,0.0,word,1.0,0.0,17729.595703125,18.0,-1.0,3517.0,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",100.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_01_21_52_41_837902/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,100.0,20.0,100.0,1.0,Mimic_2020_11_01_21_52_41_837902,0.0,1.0,256.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,71.0,10000.0,500.0,0.0,0.0,0.0,200.0,Mimic_2020_11_01_21_52_41_837902,0.0,0.0,0.0,char,1.0,0.0,354422.76953125,98.0,-1.0,,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",100.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,0.0,0.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_02_09_33_45_520718/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,100.0,20.0,100.0,1.0,Mimic_2020_11_02_09_33_45_520718,0.0,1.0,256.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,71.0,10000.0,500.0,0.0,0.0,0.0,200.0,Mimic_2020_11_02_09_33_45_520718,0.0,0.0,0.0,word,0.0,0.0,66972.267578125,99.0,1820.0,3517.0,,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",100.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,1.0,1.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/logs,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/logs_clf,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_05_08_40_51_379413/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,300.0,20.0,300.0,1.0,Mimic_2020_11_05_08_40_51_379413,0.0,1.0,256.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,,10000.0,500.0,0.0,0.0,0.0,-1.0,Mimic_2020_11_05_08_40_51_379413,0.0,0.0,0.0,word,1.0,0.0,67283.720703125,18.0,-1.0,3517.0,resnet,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",100.0,1.0,0.9,0.999,1.0,1.0,1.0,1.0,3.0,0.0,0.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/logs,,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_09_08_33_16_825202/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,300.0,20.0,300.0,1.0,Mimic_2020_11_09_08_33_16_825202,0.0,1.0,256.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,,10000.0,500.0,0.0,0.0,0.0,-1.0,Mimic_2020_11_09_08_33_16_825202,0.0,0.0,0.0,word,0.0,0.0,67674.619140625,9.0,-1.0,3517.0,resnet,,,,,
64.0,128.0,"[0.25, 0.25, 0.25, 0.25]",100.0,1.0,0.9,0.9990000000000001,1.0,1.0,1.0,1.0,3.0,0.0,0.0,64.0,clf_m1,clf_m2,clf_m3,8.0,Mimic,decoderM1,decoderM2,decoderM3,cuda,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/checkpoints,/cluster/home/klugh/klugh/mimic/trained_classifiers,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/plots/cond_gen,/cluster/home/klugh/klugh,/cluster/home/klugh/klugh/mimic/moe/non_factorized,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589,/cluster/home/klugh/klugh/mimic,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/generation_evaluation,/cluster/home/klugh/klugh/mimic/fid,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/inference,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/logs,,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/plots,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/plots/random_samples,/cluster/home/klugh/klugh/mimic/moe/non_factorized/Mimic_2020_11_11_08_37_02_916589/plots/swapping,0.25,0.25,0.25,0.25,encoderM1,encoderM2,encoderM3,300.0,20.0,300.0,1.0,Mimic_2020_11_11_08_37_02_916589,0.0,1.0,128.0,/cluster/home/klugh/klugh/mimic/pt_inception-2015-12-05-6726825d.pth,0.0005,1.0,1024.0,laplace,laplace,categorical,0.0,joint_elbo,mm_vae,0.0,0.0,0.0,,10000.0,500.0,0.0,0.0,0.0,-1.0,Mimic_2020_11_11_08_37_02_916589,0.0,0.0,0.0,word,0.0,0.0,16807.8037109375,29.0,-1.0,3517.0,resnet,,,,resnet,1.0
